PERIOD_LABEL,STORE_SALES,RETAIL_SALES,ECOMMERCE_SALES,TOTAL_SALES,DONOR_TOTAL,DONATED_LBS,DGR_OUTLET_LBS,RETAIL_LBS,OUTLET_SALES,SALVAGE_LBS,FORM_OUTLET_LBS,SALVAGE_SALES,TRASH_LBS
YTD,33130779.5,29145459.229999997,3985320.27,33487290.009514093,824407.0,37098315.0,1084972.0,31381759.0,2215052.4399999995,47024,35599,825027.00,4584560.0
Prior YTD,28688278.82,26220272.71,2468006.11,29067899.038918152,843798.0,37970910.0,920375.0,29427883.0,1761439.9,102932,59431,1136372.00,7519720.0
